,Ann_Return,Ann_Vol,Sharpe,CI_2013
AU000000ANZ3,0.196124488317595,0.2854898642700784,0.6869753110816496,0.4265306307528478
AU000000APA1,0.20232544351523785,0.25187914858678234,0.8032639646847493,332.9115568810405
AU000000ASX7,0.20176576370407867,0.3092043944634834,0.6525320057438799,0.4849738922388011
AU000000BEN6,0.186187245388429,0.31958849663856215,0.5825843149761333,
AU000000BHP4,0.20098353799569046,0.3159713600740928,0.6360815041862066,329.4660755146728
AU000000BLD2,0.18244738317794804,0.3599822809960625,0.5068232321688735,502.6346054910013
AU000000BSL0,0.15711337655342866,0.5016429280579902,0.3131976307563261,1023.6302417423894
AU000000BWP3,0.1745526543708702,0.20975783553327343,0.8321627362672765,0.0
AU000000CBA7,0.19161623753306112,0.2677271638563828,0.7157145908281838,0.2297612885249551
AU000000CIM7,0.23747230867483168,0.4373168755306647,0.5430211408756398,160.9360674876165
AU000000CSR5,0.1691158015131056,0.3764099515767533,0.449286212558122,204.6701726784194
AU000000CWY3,0.12657343522366404,0.5648241569648856,0.22409352302460558,264.0278252783908
AU000000DOW2,0.25566840222834,0.5058159879519636,0.5054573368934718,24.45574668315597
AU000000DXS1,0.12840219816558635,0.2716395139182714,0.4726933733367632,14.052385205493575
AU000000ERA9,0.16374560480193806,0.5255879805941203,0.31154746845017534,258.8769809055373
AU000000GPT8,0.08322764553089791,0.3161208639926476,0.26327792629604363,14.996852402219837
AU000000GWA4,0.16056676170184525,0.32675394863596896,0.49139960625458257,16.755987495084025
AU000000IAG3,0.16342479182549818,0.27143005204817505,0.602088053965714,1.00136758696601
AU000000LLC3,0.07800951742023621,0.33818443838082585,0.23067151697970956,13.25695404095906
AU000000MGR9,0.13921680356470756,0.35717858955111137,0.38976805339779746,4.559598063622719
AU000000MQG1,0.2005755362291447,0.41426723675687177,0.48416944047848987,0.0
AU000000NAB4,0.15165996152059152,0.29616414956796355,0.5120807556952085,0.4225508206136374
AU000000ORG5,0.2556531415125177,0.3237306267285472,0.7897094695550279,950.9628751415604
AU000000ORI1,0.2091508368449438,0.35204747674086784,0.5940983834941496,273.73435320030035
AU000000OZL8,0.3367300855089318,0.6359858029387733,0.5294616388494273,199.9358126431534
AU000000QAN2,0.059193978926523214,0.39669896439628904,0.14921636868048488,750.4054751008388
AU000000QBE9,0.16455339109114445,0.3373564696426147,0.48777304097789315,0.6487553522918545
AU000000SGM7,0.20383988688485283,0.40446043265236165,0.5039797973515385,13.56003718635604
AU000000SGP0,0.14288196524662924,0.2664743107214581,0.536194145168394,9.613342494846648
AU000000SHL7,0.15455079919515224,0.26972891034666463,0.5729856654836086,2.387801432911426
AU000000STO6,0.2060041424823795,0.3161085611514006,0.6516879572385689,1071.9687806220209
AU000000SUN6,0.15558794584807822,0.28846879076596765,0.5393579854338747,0.4145360360193031
AU000000TAH8,0.11216617168029498,0.27829602148392957,0.4030462637669152,0.8286484748218721
AU000000TCL6,0.16220735859040186,0.28450654738056097,0.570135766940472,0.1403471252230516
AU000000TLS2,0.08039583839326017,0.2383145852537552,0.3373517332464373,2.009111768485008
AU000000WBC1,0.19389829127008196,0.2740015778525735,0.7076539222500715,0.2424948657744411
AU000000WOW2,0.21562768013221473,0.21790012964962333,0.9895711419673654,8.779929535268318
AU0000038911,0.09441036857783275,0.5970767473989443,0.1581209936396188,23.357871555998624
AU0000088338,0.2957821248582363,0.41640782636359164,0.7103183613075765,76.45460548876285
AU0000224040,0.19228233889502344,0.322524201921251,0.5961795665243503,1442.9465773539716
BMG2442N1048,0.15434195622829866,0.40022557268306574,0.38563741740341106,49.98286581485289
BMG524401079,0.1868266015522753,0.41879945704094546,0.44610039103754023,0.6379610267494771
BMG677491539,0.3892357560759898,0.5114133733029123,0.761098118264193,818.4432444385052
BMG684371393,0.25044579098435593,0.42169841511793477,0.5938978710989813,488.6910067270386
HK0003000038,0.1405139319848026,0.195192028437089,0.7198753612527301,249.32330976849352
HK0010000088,0.19206529869829053,0.31562484813366104,0.6085240114458751,0.4755234565862519
HK0011000095,0.10146776759594264,0.22593025083791046,0.449111029707743,0.0
HK0012000102,0.08757694881048796,0.35525441459879475,0.24651895996674006,
HK0016000132,0.09916462616287196,0.33772258026552,0.29362746809795187,
HK0019000162,0.1257571318736343,0.26173058058097703,0.4804831426059753,2844.092886297964
HK0066009694,0.12427410844923609,0.2294326560079996,0.5416583262885778,11.277347649447377
