NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
HARVEY NORMAN HOLDINGS,AU000000HVN7,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
INSURANCE AUS.GROUP,AU000000IAG3,,,,,,,,8427.0,46164.0,46482.0,40988.0,44119.0,41975.0,37977.0,36120.0,32947.0,38161.0,29112.0,26087.0,22738.0,18100.0,14562.0,12458.0,10903.0,9729.0,12578.0,12045.0
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,,,,,,,,,,,,,,,,,,1545.6,1342.2,1355.2,,
IGO,AU000000IGO4,,,,,,,,,,,,21873.0,21595.0,15448.0,,,18245.0,15598.0,13743.0,14042.0,130.0,173.0,138.0,191.5,33017.9,22707.6,3691.9
ILUKA RESOURCES,AU000000ILU1,,,,,,,,,,,,,,,,,,,59000.0,49000.0,68000.0,74000.0,82000.0,88000.0,102000.0,71000.0,
IRESS,AU000000IRE2,,,,,,,,,,,,,,,,,2027.1,1879.17,,,2013.0,1365.0,1373.0,899.0,835.0,1117.0,
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,,,,,,7358.0,7436.0,7669.0,8243.0,,,,,,,,,,,,,
JB HI-FI,AU000000JBH7,,,,,,,,,,,,,,,,,,,,,,66149.5,63088.86,62715.81,56813.54,56636.0,59413.0
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,,,,,,,,,,182816.0,69140.0,211984.0,227564.0,282539.0,237107.0,247602.0,212289.0,213174.0,221549.0,248815.0,229443.0,258353.0,118397.0,76691.0,115504.0,147494.0,
MACMAHON HOLDINGS,AU000000MAH3,,,,,,,,,,,3826.0,4015.9,2671.24,,,,,1465.0,1583.0,1538.0,1761.0,1803.0,1481.0,1246.0,913.0,977.0,3203.0
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,,,,,,104078.0,138048.0,310746.0,257158.0,254449.0,199548.0,175893.0,145228.0,71426.0,69202.0,67513.0,76593.0,79149.0,73772.0,78041.0,70255.0,64018.0,,,73900.0,
MGX RESOURCES,AU000000MGX7,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
MONADELPHOUS GROUP,AU000000MND5,,,,,,,,,,,,,,3261.0,,,,,,,,,,,,,
MACQUARIE GROUP,AU000000MQG1,,,,,,,,,,,33255.0,,51682.0,52497.0,46499.0,42389.0,43257.0,41064.0,38267.0,35970.0,32322.0,29767.0,23734.0,23932.0,23079.0,21508.0,
METCASH,AU000000MTS0,,,,,,,,,,,90911.0,92109.0,90242.0,159106.0,,,,,,83668.0,75321.0,71132.0,65593.0,63130.0,60434.0,54383.0,66874.0
NATIONAL AUS.BANK,AU000000NAB4,,,,,,,,219604.0,218372.0,180223.0,193341.0,185590.0,172990.0,170857.0,177540.0,168982.0,162029.0,131657.0,103936.0,97820.0,90463.0,79711.0,74850.0,69015.0,57320.0,49565.0,
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,,,,,,,,,,,647869.0,798368.0,758481.0,689938.0,,,,,817802.0,760008.0,900977.0,894874.0,970068.0,843293.0,860737.0,,
ORIGIN ENERGY (EX BORAL),AU000000ORG5,,,,,,,,,25500000.0,34600000.0,36553.0,52965.0,58301.0,61000.0,202000.0,130000.0,409000.0,1265000.0,1818000.0,2090000.0,2289000.0,2403000.0,2305000.0,2350000.0,2235000.0,2201000.0,2253000.0
ORICA,AU000000ORI1,,,,,,,,,,546000.0,507744.0,528480.0,517000.0,520000.0,500000.0,400000.0,400000.0,300000.0,331600.0,260000.0,242000.0,267000.0,271000.0,256000.0,253000.0,234000.0,
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,,,,,,,,,,513145.0,168542.0,183292.0,185561.0,187928.0,195216.0,195896.0,199209.0,190825.0,177306.0,167980.0,176627.0,192334.0,249902.0,230651.0,,,
PERPETUAL,AU000000PPT9,,,,,,,,,,,3388.0,,,,,,,,,,,1527.6,1483.6,1298.0,1514.0,1537.0,
QANTAS AIRWAYS,AU000000QAN2,,,,,,,,,,,228397.0,224024.0,216941.0,216478.0,209799.0,183826.0,155826.0,142227.0,139433.0,135822.0,120881.0,83920.0,64983.0,64894.0,62462.0,60297.0,
QBE INSURANCE GROUP,AU000000QBE9,,,,,,,,,,36700.0,36674.0,35990.0,37343.0,36396.0,33639.0,35908.0,33344.0,25155.0,23899.0,22568.0,16729.0,13770.0,11989.0,9990.0,9024.0,7413.0,
RAMSAY HEALTH CARE,AU000000RHC8,,,,,,,,,,,,,,,,,,156839.0,157418.0,,,216112.0,217579.0,237752.0,193860.0,155223.0,150208.0
ST BARBARA,AU000000SBM8,,,,,,,,,,,,,,59940.0,,,1000.0,1000.0,1000.0,1000.0,43000.0,45000.0,47000.0,48000.0,,,
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
SEEK,AU000000SEK6,,,,,,,,,,,,,,,,,,,,,,,687.0,1042.0,1389.0,1422.0,
SIMS,AU000000SGM7,,,,,,,,,123262.86,106392.0,176211.0,171189.0,157396.0,138329.0,142526.0,136086.0,120835.0,105393.0,108919.0,143500.0,127100.0,70400.0,69700.0,68200.0,66700.0,66300.0,
STOCKLAND STAPLED UNITS,AU000000SGP0,,,,,,,,135779.75,136061.71,129238.35,126438.0,128755.0,128283.0,117550.0,100936.0,99927.34,97763.05,89881.0,87860.0,82591.0,70648.0,54466.0,49172.0,45990.0,36225.0,35908.0,
SONIC HEALTHCARE,AU000000SHL7,,,,,,,,,,,,,55328.0,54683.0,58483.0,58023.0,59645.0,59022.0,,,,58162.0,86606.0,86356.0,76633.0,,78709.0
SIGMA HEALTHCARE,AU000000SIG5,,,,,,,,,,,,55292.0,,,,,,,,,,,,11112.0,8610.0,6594.0,
SANTOS,AU000000STO6,,,,,,,,,58000.0,42709.0,42709.0,39723.0,40466.0,37796.0,36409.0,32809.0,30000.0,30000.0,310000.0,390000.0,530000.0,610000.0,610000.0,570000.0,600000.0,800000.0,
SUNCORP GROUP,AU000000SUN6,,,,,,,,,,,,,66495.0,58616.0,51151.0,47194.0,43343.0,28378.0,34575.0,33136.0,22338.0,21503.0,19071.0,14988.0,12525.0,11194.0,6667.0
SEVEN WEST MEDIA DEAD - DELIST.08/01/26,AU000000SWM4,,,,,,,,,,,,,,,,,,,,,,,,22540.11,,16283.42,
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,,,,,,,,,,,,,,,,,,,,,,,8687.0,,3857.43,5066.1,4449.0
TABCORP HOLDINGS,AU000000TAH8,,,,,,,,,,,,,134258.0,,20983.0,19500.0,17601.0,16963.0,16335.0,15046.0,16986.0,15116.0,10172.0,15130.0,16692.0,12858.0,11493.0
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,,,,,,,,,36477.0,47301.0,45459.0,43278.0,50528.05,59111.0,57348.0,57053.0,94166.0,93328.0,120528.0,119848.0,121888.0,136495.0,198086.0,189141.0,183371.0,183939.0,183540.0
